epoch,train_loss,val_loss,val_SSIM,val_PSNR,lr,time_s
1,0.00143,0.0006,0.4381,20.87,0.0009938503261272714,5172.3
2,0.00063,0.00058,0.5059,21.33,0.0009755527298894295,5182.4
3,0.00058,0.00055,0.5496,22.27,0.0009455577588320899,5129.6
4,0.00056,0.00053,0.5935,23.02,0.0009046039886902865,5170.0
5,0.00056,0.00052,0.5816,23.03,0.0008536998372026806,5172.7
6,0.00054,0.00051,0.5907,23.14,0.0007940987335200905,5155.8
7,0.00053,0.0005,0.608,23.48,0.0007272682546199038,5159.6
8,0.00052,0.00049,0.6173,23.66,0.0006548539886902865,5136.9
9,0.00051,0.00049,0.622,23.8,0.0005786390152875956,5201.3
10,0.0005,0.00048,0.6221,23.88,0.0005005000000000002,5169.2
11,0.0005,0.00048,0.6297,23.99,0.000422360984712405,5286.5
12,0.00049,0.00048,0.6302,24.04,0.00034614601130971394,5101.0
13,0.00049,0.00048,0.6283,24.06,0.0002737317453800965,5226.0
14,0.00049,0.00048,0.6302,24.02,0.00020690126647990978,5235.8
15,0.00049,0.00047,0.6328,24.07,0.00014730016279731957,5186.1
16,0.00049,0.00047,0.633,24.1,9.639601130971382e-05,5156.0
17,0.00049,0.00047,0.6295,24.08,5.54422411679103e-05,5117.8
18,0.00049,0.00047,0.6315,24.1,2.5447270110570818e-05,5107.2
19,0.00048,0.00047,0.6315,24.1,7.149673872728741e-06,5266.8
20,0.00048,0.00047,0.6313,24.09,1e-06,5163.8
